cod_est,fecha,entradas
203,2024-01-27,20069
201,2024-01-27,8215
524,2024-01-27,8282
751,2024-01-27,1138
618,2024-01-27,30618
805,2024-01-27,25928
1005,2024-01-27,5438
1006,2024-01-27,9252
121,2024-01-28,5097
203,2024-01-28,12371
201,2024-01-28,5931
524,2024-01-28,5397
751,2024-01-28,18348
618,2024-01-28,23582
805,2024-01-28,17635
1005,2024-01-28,3500
1006,2024-01-28,7137
121,2024-01-29,8061
203,2024-01-29,18984
201,2024-01-29,8133
524,2024-01-29,7829
751,2024-01-29,1500
618,2024-01-29,51995
805,2024-01-29,4523
1005,2024-01-29,11678
1006,2024-01-29,12635
121,2024-01-30,8399
203,2024-01-30,20684
201,2024-01-30,8865
524,2024-01-30,8353
751,2024-01-30,1419
618,2024-01-30,57027
805,2024-01-30,4731
1005,2024-01-30,13006
1006,2024-01-30,13262
121,2024-01-31,8185
203,2024-01-31,21381
201,2024-01-31,9068
524,2024-01-31,8280
751,2024-01-31,15372
618,2024-01-31,57939
805,2024-01-31,4836
1005,2024-01-31,12981
1006,2024-01-31,13721
121,2024-02-01,8284
203,2024-02-01,22550
201,2024-02-01,8925
524,2024-02-01,8450
751,2024-02-01,1329
618,2024-02-01,58962
805,2024-02-01,6682
1005,2024-02-01,13364
1006,2024-02-01,14313
121,2024-02-02,9303
203,2024-02-02,23721
201,2024-02-02,10151
524,2024-02-02,8695
751,2024-02-02,1583
618,2024-02-02,51753
805,2024-02-02,9133
1005,2024-02-02,11909
1006,2024-02-02,14588
121,2024-02-03,6577
203,2024-02-03,19921
201,2024-02-03,8154
524,2024-02-03,8221
751,2024-02-03,1129
618,2024-02-03,30392
805,2024-02-03,5381
1005,2024-02-03,5397
1006,2024-02-03,9184
121,2024-02-04,5084
203,2024-02-04,12339
201,2024-02-04,5916
524,2024-02-04,5383
751,2024-02-04,884
618,2024-02-04,36761
805,2024-02-04,3953
1005,2024-02-04,8305
1006,2024-02-04,22987
121,2024-02-05,10747
203,2024-02-05,19710
201,2024-02-05,8444
524,2024-02-05,8128
751,2024-02-05,1558
618,2024-02-05,53982
805,2024-02-05,4696
1005,2024-02-05,12124
1006,2024-02-05,13117
121,2024-02-06,8505
203,2024-02-06,20944
201,2024-02-06,8976
524,2024-02-06,8458
751,2024-02-06,1437
618,2024-02-06,57743
805,2024-02-06,8246
1005,2024-02-06,13169
1006,2024-02-06,13429
121,2024-02-07,8348
203,2024-02-07,21808
201,2024-02-07,9249
524,2024-02-07,8446
751,2024-02-07,17670
618,2024-02-07,59096
805,2024-02-07,11196
1005,2024-02-07,13241
1006,2024-02-07,13995
121,2024-02-08,8314
203,2024-02-08,22630
201,2024-02-08,8957
524,2024-02-08,8480
751,2024-02-08,1334
618,2024-02-08,59171
805,2024-02-08,10529
1005,2024-02-08,13411
1006,2024-02-08,14364
121,2024-02-09,9175
203,2024-02-09,23393
201,2024-02-09,9847
524,2024-02-09,8574
751,2024-02-09,1561
618,2024-02-09,51037
805,2024-02-09,9006
1005,2024-02-09,11744
1006,2024-02-09,14386
121,2024-02-10,6791
203,2024-02-10,20322
201,2024-02-10,8420
524,2024-02-10,8214
751,2024-02-10,1218
618,2024-02-10,35447
805,2024-02-10,6722
1005,2024-02-10,6842
1006,2024-02-10,25346
121,2024-02-11,4801
203,2024-02-11,12242
201,2024-02-11,5366
524,2024-02-11,5022
751,2024-02-11,860
618,2024-02-11,22323
805,2024-02-11,3733
1005,2024-02-11,3291
1006,2024-02-11,7441
121,2024-02-12,8468
203,2024-02-12,19943
201,2024-02-12,8544
524,2024-02-12,8224
751,2024-02-12,1576
618,2024-02-12,54620
805,2024-02-12,4752
1005,2024-02-12,12267
1006,2024-02-12,13272
121,2024-02-13,8539
203,2024-02-13,21027
201,2024-02-13,9012
524,2024-02-13,8491
751,2024-02-13,1443
618,2024-02-13,57973
805,2024-02-13,4809
1005,2024-02-13,13222
1006,2024-02-13,13482
121,2024-02-14,8502
203,2024-02-14,22210
201,2024-02-14,9420
524,2024-02-14,8602
751,2024-02-14,1671
618,2024-02-14,60186
805,2024-02-14,5024
1005,2024-02-14,13485
1006,2024-02-14,14253
121,2024-02-15,8261
203,2024-02-15,22487
201,2024-02-15,8900
524,2024-02-15,8427
751,2024-02-15,1326
618,2024-02-15,58796
805,2024-02-15,6663
1005,2024-02-15,13326
1006,2024-02-15,14273
121,2024-02-16,9375
203,2024-02-16,27106
201,2024-02-16,10579
524,2024-02-16,8762
751,2024-02-16,1595
618,2024-02-16,52153
805,2024-02-16,9203
1005,2024-02-16,12001
1006,2024-02-16,14701
121,2024-02-17,6807
203,2024-02-17,20619
201,2024-02-17,8440
524,2024-02-17,8509
751,2024-02-17,19042
618,2024-02-17,31457
805,2024-02-17,11038
1005,2024-02-17,5587
1006,2024-02-17,9506
121,2024-02-18,8696
203,2024-02-18,11274
201,2024-02-18,5918
524,2024-02-18,5243
751,2024-02-18,826
618,2024-02-18,22522
805,2024-02-18,10498
1005,2024-02-18,3366
1006,2024-02-18,6119
121,2024-02-19,8373
203,2024-02-19,19721
201,2024-02-19,8449
524,2024-02-19,8132
751,2024-02-19,1559
618,2024-02-19,54013
805,2024-02-19,10167
1005,2024-02-19,12131
1006,2024-02-19,13125
121,2024-02-20,8527
203,2024-02-20,20999
201,2024-02-20,8999
524,2024-02-20,8480
751,2024-02-20,1441
618,2024-02-20,57894
805,2024-02-20,10271
1005,2024-02-20,13204
1006,2024-02-20,13464
121,2024-02-21,8630
203,2024-02-21,22545
201,2024-02-21,9561
524,2024-02-21,8731
751,2024-02-21,1696
618,2024-02-21,61092
805,2024-02-21,5099
1005,2024-02-21,13688
1006,2024-02-21,14468
121,2024-02-22,7939
203,2024-02-22,21610
201,2024-02-22,8553
524,2024-02-22,8098
751,2024-02-22,1274
618,2024-02-22,56506
805,2024-02-22,6404
1005,2024-02-22,12807
1006,2024-02-22,13717
121,2024-02-23,8555
203,2024-02-23,21814
201,2024-02-23,9335
524,2024-02-23,13723
751,2024-02-23,1456
618,2024-02-23,47591
805,2024-02-23,8398
1005,2024-02-23,10952
1006,2024-02-23,13415
121,2024-02-24,6330
203,2024-02-24,19174
201,2024-02-24,7849
524,2024-02-24,13640
751,2024-02-24,1087
618,2024-02-24,29252
805,2024-02-24,5179
1005,2024-02-24,5195
1006,2024-02-24,8840
121,2024-02-25,4751
203,2024-02-25,11532
201,2024-02-25,5529
524,2024-02-25,10759
751,2024-02-25,826
618,2024-02-25,34929
805,2024-02-25,3694
1005,2024-02-25,7969
1006,2024-02-25,22169
121,2024-02-26,8531
203,2024-02-26,20093
201,2024-02-26,8608
524,2024-02-26,8286
751,2024-02-26,1588
618,2024-02-26,55030
805,2024-02-26,4787
1005,2024-02-26,12359
1006,2024-02-26,13372
121,2024-02-27,8589
203,2024-02-27,24790
201,2024-02-27,9065
524,2024-02-27,8541
751,2024-02-27,1451
618,2024-02-27,58315
805,2024-02-27,20697
1005,2024-02-27,13300
1006,2024-02-27,13562
121,2024-02-28,8279
203,2024-02-28,21628
201,2024-02-28,9173
524,2024-02-28,8376
751,2024-02-28,1627
618,2024-02-28,58608
805,2024-02-28,20751
1005,2024-02-28,13131
1006,2024-02-28,13880
121,2024-02-29,8528
203,2024-02-29,23215
201,2024-02-29,9188
524,2024-02-29,8700
751,2024-02-29,1368
618,2024-02-29,60701
805,2024-02-29,22738
1005,2024-02-29,13758
1006,2024-02-29,14735
121,2024-03-01,9548
203,2024-03-01,26054
201,2024-03-01,10767
524,2024-03-01,8923
751,2024-03-01,1625
618,2024-03-01,53112
805,2024-03-01,25232
1005,2024-03-01,12222
1006,2024-03-01,14971
121,2024-03-02,9682
203,2024-03-02,18569
201,2024-03-02,7112
524,2024-03-02,7816
751,2024-03-02,994
618,2024-03-02,27990
805,2024-03-02,3916
1005,2024-03-02,4971
1006,2024-03-02,8458
121,2024-03-03,4959
203,2024-03-03,12036
201,2024-03-03,5771
524,2024-03-03,5251
751,2024-03-03,18940
618,2024-03-03,22944
805,2024-03-03,3856
1005,2024-03-03,3405
1006,2024-03-03,6944
121,2024-03-04,8406
203,2024-03-04,19798
201,2024-03-04,8482
524,2024-03-04,8164
751,2024-03-04,1565
618,2024-03-04,54224
805,2024-03-04,4717
1005,2024-03-04,12178
1006,2024-03-04,13176
121,2024-03-05,8610
203,2024-03-05,21204
201,2024-03-05,9087
524,2024-03-05,8563
751,2024-03-05,1455
618,2024-03-05,58460
805,2024-03-05,4850
1005,2024-03-05,13333
1006,2024-03-05,13595
121,2024-03-06,8489
203,2024-03-06,22176
201,2024-03-06,9405
524,2024-03-06,8588
751,2024-03-06,1668
618,2024-03-06,73333
805,2024-03-06,15406
805,2024-03-06,8571
1005,2024-03-06,18277
1006,2024-03-06,30100
121,2024-03-07,8434
203,2024-03-07,22958
201,2024-03-07,9087
524,2024-03-07,8603
751,2024-03-07,1353
618,2024-03-07,60029
805,2024-03-07,17193
805,2024-03-07,11998
1005,2024-03-07,13606
1006,2024-03-07,14572
121,2024-03-08,9563
203,2024-03-08,24383
201,2024-03-08,10434
524,2024-03-08,8937
751,2024-03-08,1627
618,2024-03-08,53196
805,2024-03-08,19778
805,2024-03-08,16223
1005,2024-03-08,12241
1006,2024-03-08,14995
121,2024-03-09,6504
203,2024-03-09,19701
201,2024-03-09,8064
524,2024-03-09,8130
751,2024-03-09,1117
618,2024-03-09,30057
805,2024-03-09,10517
805,2024-03-09,13798
1005,2024-03-09,5338
1006,2024-03-09,9083
121,2024-03-10,4872
203,2024-03-10,11824
201,2024-03-10,5669
524,2024-03-10,5158
751,2024-03-10,847
618,2024-03-10,35338
805,2024-03-10,7342
805,2024-03-10,12264
1005,2024-03-10,7998
1006,2024-03-10,22161
121,2024-03-11,8356
203,2024-03-11,19679
201,2024-03-11,8431
524,2024-03-11,8115
751,2024-03-11,1555
618,2024-03-11,53898
805,2024-03-11,6329
1005,2024-03-11,12105
1006,2024-03-11,13097
121,2024-03-12,8537
203,2024-03-12,24662
201,2024-03-12,9010
524,2024-03-12,8490
751,2024-03-12,1443
618,2024-03-12,57962
805,2024-03-12,4808
1005,2024-03-12,13219
1006,2024-03-12,13480
121,2024-03-13,8355
203,2024-03-13,21824
201,2024-03-13,9256
524,2024-03-13,8452
751,2024-03-13,21979
618,2024-03-13,59140
805,2024-03-13,4936
1005,2024-03-13,13250
1006,2024-03-13,14006
121,2024-03-14,8394
203,2024-03-14,26486
201,2024-03-14,9043
524,2024-03-14,8562
751,2024-03-14,1347
618,2024-03-14,59742
805,2024-03-14,9778
1005,2024-03-14,13541
1006,2024-03-14,14503
121,2024-03-15,9376
203,2024-03-15,23906
201,2024-03-15,10230
524,2024-03-15,8762
751,2024-03-15,1595
618,2024-03-15,52156
805,2024-03-15,12212
1005,2024-03-15,12002
1006,2024-03-15,14702
121,2024-03-16,6713
203,2024-03-16,20335
201,2024-03-16,8566
524,2024-03-16,8392
751,2024-03-16,1153
618,2024-03-16,31024
805,2024-03-16,8501
1005,2024-03-16,5510
1006,2024-03-16,9375
121,2024-03-17,8247
203,2024-03-17,12247
201,2024-03-17,6114
524,2024-03-17,5343
751,2024-03-17,21010
618,2024-03-17,23346
805,2024-03-17,3923
1005,2024-03-17,3465
1006,2024-03-17,7066
121,2024-03-18,8345
203,2024-03-18,19655
201,2024-03-18,8420
524,2024-03-18,8105
751,2024-03-18,1553
618,2024-03-18,53831
805,2024-03-18,4683
1005,2024-03-18,12090
1006,2024-03-18,13081
121,2024-03-19,8424
203,2024-03-19,20745
201,2024-03-19,8891
524,2024-03-19,8377
751,2024-03-19,1423
618,2024-03-19,57195
805,2024-03-19,4745
1005,2024-03-19,13044
1006,2024-03-19,13301
121,2024-03-20,8153
203,2024-03-20,21298
201,2024-03-20,9033
524,2024-03-20,8248
751,2024-03-20,1602
618,2024-03-20,57714
805,2024-03-20,4817
1005,2024-03-20,12931
1006,2024-03-20,13668
121,2024-03-21,8451
203,2024-03-21,23004
201,2024-03-21,9105
524,2024-03-21,8621
751,2024-03-21,1356
618,2024-03-21,60150
805,2024-03-21,6816
1005,2024-03-21,13633
1006,2024-03-21,14602
121,2024-03-22,8375
203,2024-03-22,21354
201,2024-03-22,9138
524,2024-03-22,7827
751,2024-03-22,1425
618,2024-03-22,46589
805,2024-03-22,8222
1005,2024-03-22,10721
1006,2024-03-22,13133
121,2024-03-23,6117
203,2024-03-23,18528
201,2024-03-23,7584
524,2024-03-23,7646
751,2024-03-23,1050
618,2024-03-23,28268
805,2024-03-23,5005
1005,2024-03-23,5020
1006,2024-03-23,8542
121,2024-03-24,4763
203,2024-03-24,11560
201,2024-03-24,7239
524,2024-03-24,5043
751,2024-03-24,828
618,2024-03-24,22037
805,2024-03-24,3703
1005,2024-03-24,3271
1006,2024-03-24,6669
121,2024-03-25,6389
203,2024-03-25,15047
201,2024-03-25,6446
524,2024-03-25,6205
751,2024-03-25,1189
618,2024-03-25,41212
805,2024-03-25,3585
1005,2024-03-25,9256
1006,2024-03-25,10014
121,2024-03-26,6635
203,2024-03-26,16339
201,2024-03-26,7002
524,2024-03-26,6598
751,2024-03-26,1121
618,2024-03-26,45047
805,2024-03-26,3737
1005,2024-03-26,10274
1006,2024-03-26,10476
121,2024-03-27,5767
203,2024-03-27,15066
201,2024-03-27,6390
524,2024-03-27,5835
751,2024-03-27,1133
618,2024-03-27,40826
805,2024-03-27,3408
1005,2024-03-27,9147
1006,2024-03-27,9668
121,2024-03-28,4350
203,2024-03-28,10558
201,2024-03-28,5062
524,2024-03-28,4606
751,2024-03-28,757
618,2024-03-28,20126
805,2024-03-28,3382
1005,2024-03-28,2987
1006,2024-03-28,6091
121,2024-03-29,4175
203,2024-03-29,10132
201,2024-03-29,4858
524,2024-03-29,4420
751,2024-03-29,726
618,2024-03-29,19314
805,2024-03-29,3246
1005,2024-03-29,2867
1006,2024-03-29,5846
121,2024-03-30,4704
203,2024-03-30,14250
201,2024-03-30,5833
524,2024-03-30,5881
751,2024-03-30,808
618,2024-03-30,21740
805,2024-03-30,3849
1005,2024-03-30,3861
1006,2024-03-30,6570
121,2024-03-31,4082
203,2024-03-31,9906
201,2024-03-31,4750
524,2024-03-31,4322
751,2024-03-31,710
618,2024-03-31,31536
805,2024-03-31,3173
1005,2024-03-31,7402
1006,2024-03-31,20879
121,2024-04-01,6664
203,2024-04-01,18514
201,2024-04-01,7267
524,2024-04-01,6938
751,2024-04-01,1242
618,2024-04-01,43985
805,2024-04-01,3414
1005,2024-04-01,10206
1006,2024-04-01,9421
121,2024-04-02,8441
203,2024-04-02,21977
201,2024-04-02,9078
524,2024-04-02,8623
751,2024-04-02,1911
618,2024-04-02,55307
805,2024-04-02,5051
1005,2024-04-02,12718
1006,2024-04-02,11011
121,2024-04-03,9271
203,2024-04-03,22409
201,2024-04-03,9571
524,2024-04-03,8841
751,2024-04-03,1639
618,2024-04-03,46100
805,2024-04-03,4750
1005,2024-04-03,9833
1006,2024-04-03,10237
121,2024-04-04,9238
203,2024-04-04,23468
201,2024-04-04,9792
524,2024-04-04,8793
751,2024-04-04,2069
618,2024-04-04,57041
805,2024-04-04,8649
1005,2024-04-04,13160
1006,2024-04-04,11728
121,2024-04-05,9471
203,2024-04-05,23468
201,2024-04-05,10559
524,2024-04-05,10980
751,2024-04-05,1360
618,2024-04-05,56655
805,2024-04-05,12513
1005,2024-04-05,12414
1006,2024-04-05,10856
121,2024-04-06,7617
203,2024-04-06,18590
201,2024-04-06,7565
524,2024-04-06,9576
751,2024-04-06,1295
618,2024-04-06,33602
805,2024-04-06,13154
1005,2024-04-06,5589
1006,2024-04-06,7259
121,2024-04-07,6286
203,2024-04-07,12027
201,2024-04-07,6621
524,2024-04-07,5652
751,2024-04-07,1381
618,2024-04-07,22482
805,2024-04-07,6147
1005,2024-04-07,3574
1006,2024-04-07,4867
121,2024-04-08,8361
203,2024-04-08,23227
201,2024-04-08,9117
524,2024-04-08,8705
751,2024-04-08,1558
618,2024-04-08,55182
805,2024-04-08,4284
1005,2024-04-08,12805
1006,2024-04-08,11820
121,2024-04-09,9084
203,2024-04-09,23653
201,2024-04-09,9770
524,2024-04-09,9280
751,2024-04-09,2057
618,2024-04-09,72765
805,2024-04-09,5436
1005,2024-04-09,18501
1006,2024-04-09,27720
121,2024-04-10,9645
203,2024-04-10,23313
201,2024-04-10,9958
524,2024-04-10,9198
751,2024-04-10,21837
618,2024-04-10,47961
805,2024-04-10,4942
1005,2024-04-10,10230
1006,2024-04-10,10650
121,2024-04-11,9337
203,2024-04-11,23719
201,2024-04-11,9896
524,2024-04-11,8887
751,2024-04-11,2091
618,2024-04-11,57649
805,2024-04-11,8741
1005,2024-04-11,13300
1006,2024-04-11,11853
121,2024-04-12,9547
203,2024-04-12,27295
201,2024-04-12,10644
524,2024-04-12,11068
751,2024-04-12,1371
618,2024-04-12,57110
805,2024-04-12,12614
1005,2024-04-12,12514
1006,2024-04-12,10943
121,2024-04-13,10803
203,2024-04-13,22148
201,2024-04-13,7622
524,2024-04-13,9647
751,2024-04-13,20204
618,2024-04-13,33851
805,2024-04-13,13252
1005,2024-04-13,5630
1006,2024-04-13,7313
121,2024-04-14,6353
203,2024-04-14,12155
201,2024-04-14,6628
524,2024-04-14,5713
751,2024-04-14,1396
618,2024-04-14,22723
805,2024-04-14,6212
1005,2024-04-14,3612
1006,2024-04-14,4919
121,2024-04-15,8266
203,2024-04-15,22965
201,2024-04-15,9014
524,2024-04-15,8606
751,2024-04-15,1540
618,2024-04-15,54559
805,2024-04-15,4235
1005,2024-04-15,12660
1006,2024-04-15,11686
121,2024-04-16,8784
203,2024-04-16,22873
201,2024-04-16,9447
524,2024-04-16,8974
751,2024-04-16,1989
618,2024-04-16,57560
805,2024-04-16,5256
1005,2024-04-16,13236
1006,2024-04-16,11460
121,2024-04-17,9440
203,2024-04-17,22818
201,2024-04-17,9746
524,2024-04-17,9003
751,2024-04-17,1669
618,2024-04-17,46943
805,2024-04-17,4837
1005,2024-04-17,10013
1006,2024-04-17,10424
121,2024-04-18,9295
203,2024-04-18,23613
201,2024-04-18,9852
524,2024-04-18,8847
751,2024-04-18,2082
618,2024-04-18,57391
805,2024-04-18,8702
1005,2024-04-18,13240
1006,2024-04-18,11800
121,2024-04-19,9434
203,2024-04-19,23375
201,2024-04-19,10517
524,2024-04-19,10936
751,2024-04-19,1355
618,2024-04-19,56429
805,2024-04-19,12463
1005,2024-04-19,12365
1006,2024-04-19,10813
121,2024-04-20,10534
203,2024-04-20,18243
201,2024-04-20,7424
524,2024-04-20,9397
751,2024-04-20,1271
618,2024-04-20,32974
805,2024-04-20,12909
1005,2024-04-20,5484
1006,2024-04-20,7123
121,2024-04-21,6644
203,2024-04-21,12713
201,2024-04-21,6975
524,2024-04-21,5975
751,2024-04-21,1460
618,2024-04-21,38476
805,2024-04-21,6497
1005,2024-04-21,9126
1006,2024-04-21,22776
121,2024-04-22,8436
203,2024-04-22,23436
201,2024-04-22,9199
524,2024-04-22,8783
751,2024-04-22,1572
618,2024-04-22,55679
805,2024-04-22,4322
1005,2024-04-22,12920
1006,2024-04-22,11926
121,2024-04-23,8977
203,2024-04-23,23375
201,2024-04-23,9655
524,2024-04-23,9171
751,2024-04-23,2033
618,2024-04-23,58825
805,2024-04-23,5372
1005,2024-04-23,13527
1006,2024-04-23,11712
121,2024-04-24,9480
203,2024-04-24,22916
201,2024-04-24,9788
524,2024-04-24,9041
751,2024-04-24,1676
618,2024-04-24,47143
805,2024-04-24,4858
1005,2024-04-24,10055
1006,2024-04-24,10468
121,2024-04-25,9405
203,2024-04-25,23891
201,2024-04-25,9968
524,2024-04-25,8952
751,2024-04-25,2106
618,2024-04-25,58069
805,2024-04-25,8805
1005,2024-04-25,13397
1006,2024-04-25,11939
121,2024-04-26,9534
203,2024-04-26,23624
201,2024-04-26,10630
524,2024-04-26,11053
751,2024-04-26,1369
618,2024-04-26,61298
805,2024-04-26,12596
1005,2024-04-26,14048
1006,2024-04-26,16042
121,2024-04-27,7439
203,2024-04-27,18157
201,2024-04-27,7389
524,2024-04-27,16036
751,2024-04-27,20165
618,2024-04-27,32819
805,2024-04-27,12848
1005,2024-04-27,5459
1006,2024-04-27,7090
121,2024-04-28,7056
203,2024-04-28,13500
201,2024-04-28,8023
524,2024-04-28,6345
751,2024-04-28,1551
618,2024-04-28,25236
805,2024-04-28,6899
1005,2024-04-28,4012
1006,2024-04-28,5463
121,2024-04-29,8291
203,2024-04-29,23034
201,2024-04-29,9041
524,2024-04-29,8632
751,2024-04-29,1545
618,2024-04-29,54722
805,2024-04-29,4248
1005,2024-04-29,12698
1006,2024-04-29,11721
121,2024-04-30,8911
203,2024-04-30,23202
201,2024-04-30,9583
524,2024-04-30,9103
751,2024-04-30,2018
618,2024-04-30,58390
805,2024-04-30,5332
1005,2024-04-30,13426
1006,2024-04-30,11625
121,2024-05-01,6154
203,2024-05-01,11774
201,2024-05-01,7335
524,2024-05-01,5533
751,2024-05-01,1352
618,2024-05-01,22009
805,2024-05-01,6017
1005,2024-05-01,3499
1006,2024-05-01,4764
121,2024-05-02,6473
203,2024-05-02,12384
201,2024-05-02,8057
524,2024-05-02,5820
751,2024-05-02,1422
618,2024-05-02,23151
805,2024-05-02,6329
1005,2024-05-02,3680
1006,2024-05-02,5011
121,2024-05-03,6885
203,2024-05-03,17061
201,2024-05-03,7676
524,2024-05-03,7982
751,2024-05-03,989
618,2024-05-03,41186
805,2024-05-03,9097
1005,2024-05-03,9025
1006,2024-05-03,7892
121,2024-05-04,6624
203,2024-05-04,16168
201,2024-05-04,6580
524,2024-05-04,8328
751,2024-05-04,1126
618,2024-05-04,41728
805,2024-05-04,11440
1005,2024-05-04,9407
1006,2024-05-04,21300
121,2024-05-05,8364
203,2024-05-05,10966
201,2024-05-05,6116
524,2024-05-05,5154
751,2024-05-05,1260
618,2024-05-05,20500
805,2024-05-05,5605
1005,2024-05-05,3259
1006,2024-05-05,4437
121,2024-05-06,8212
203,2024-05-06,22815
201,2024-05-06,8955
524,2024-05-06,8550
751,2024-05-06,1530
